Date,Close,Signal,Portfolio Value,Rise/Fall,Stocks Held,Cash in Hand,Stock
2022-02-15,522.570556640625,0,169840.52,0.0,0,169840.52,HINDALCO.NS_portfolio
2022-02-16,518.1166381835938,0,169840.52,0.0,0,169840.52,HINDALCO.NS_portfolio
2022-02-17,521.2980346679688,0,169840.52,0.0,0,169840.52,HINDALCO.NS_portfolio
2022-02-18,518.4103393554688,0,169840.52,0.0,0,169840.52,HINDALCO.NS_portfolio
2022-02-21,501.1822204589844,0,169840.52,0.0,0,169840.52,HINDALCO.NS_portfolio
2022-02-22,505.2935180664063,0,169840.52,0.0,0,169840.52,HINDALCO.NS_portfolio
2022-02-23,507.7406921386719,0,169840.52,0.0,0,169840.52,HINDALCO.NS_portfolio
2022-02-24,506.7128601074219,0,169840.52,0.0,0,169840.52,HINDALCO.NS_portfolio
2022-02-25,522.6195068359375,0,169840.52,0.0,0,169840.52,HINDALCO.NS_portfolio
2022-02-28,561.6275634765625,0,169840.52,0.0,0,169840.52,HINDALCO.NS_portfolio
2022-03-02,587.4207153320312,0,169840.52,0.0,0,169840.52,HINDALCO.NS_portfolio
2022-03-03,593.48974609375,0,169840.52,0.0,0,169840.52,HINDALCO.NS_portfolio
2022-03-04,571.4652099609375,0,169840.52,0.0,0,169840.52,HINDALCO.NS_portfolio
2022-03-07,606.6556396484375,0,169840.52,0.0,0,169840.52,HINDALCO.NS_portfolio
2022-03-08,577.4852294921875,0,169840.52,0.0,0,169840.52,HINDALCO.NS_portfolio
2022-03-09,575.6254272460938,0,169840.52,0.0,0,169840.52,HINDALCO.NS_portfolio
2022-03-10,581.25390625,0,169840.52,0.0,0,169840.52,HINDALCO.NS_portfolio
2022-03-11,576.6531982421875,0,169840.52,0.0,0,169840.52,HINDALCO.NS_portfolio
2022-03-14,578.3172607421875,0,169840.52,0.0,0,169840.52,HINDALCO.NS_portfolio
2022-03-15,547.92333984375,0,169840.52,0.0,0,169840.52,HINDALCO.NS_portfolio
